Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
949,3/29/24,GSW,CHA,"W, 115-97",*,32:08:00,9,18,0.5,4,11,0.364,5,7,0.714,0.611,1,1,1,0,1,1,4,1,0,0,1,23,17.7,13
950,3/31/24,GSW,SAS,"W, 117-113",*,32:32:00,12,23,0.522,7,15,0.467,5,8,0.625,0.674,2,2,1,0,1,1,8,0,0,4,1,33,23.2,12
951,4/2/24,GSW,DAL,"W, 104-100",*,31:34:00,5,18,0.278,3,5,0.6,2,13,0.154,0.361,0,0,,0,7,7,7,1,2,4,1,13,7.4,-4
952,4/4/24,GSW,HOU,"W, 133-110",*,30:39:00,9,14,0.643,2,6,0.333,7,8,0.875,0.714,9,9,1,0,6,6,6,0,0,3,2,29,25,29
953,4/5/24,GSW,DAL,"L, 106-108",*,35:25:00,9,23,0.391,5,14,0.357,4,9,0.444,0.5,5,6,0.833,1,5,6,5,1,0,2,2,28,19,-5
953-1,4/7/24,GSW,UTA,"W, 118-110",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
954,4/9/24,GSW,LAL,"W, 134-120",*,32:19:00,7,9,0.778,6,6,1,1,3,0.333,1.111,3,4,0.75,0,7,7,8,1,2,1,2,23,27.4,13
955,4/11/24,GSW,POR,"W, 100-92",*,36:22:00,8,22,0.364,5,16,0.313,3,6,0.5,0.477,1,1,1,0,7,7,8,1,2,2,0,22,17.9,7
956,4/12/24,GSW,NOP,"L, 109-114",*,32:23:00,12,23,0.522,7,13,0.538,5,10,0.5,0.674,2,2,1,0,4,4,5,1,0,7,2,33,19.6,-8
956-1,4/14/24,GSW,UTA,"W, 123-116",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
