Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
837,11/11/22,GSW,CLE,"W, 106-101",*,34:00:00,15,23,0.652,6,11,0.545,9,12,0.75,0.783,4,6,0.667,0,4,4,5,1,0,2,4,40,31.2,7
838,11/13/22,GSW,SAC,"L, 115-122",*,36:51:00,9,17,0.529,3,9,0.333,6,8,0.75,0.618,6,6,1,0,6,6,4,1,0,4,0,27,20.3,0
839,11/14/22,GSW,SAS,"W, 132-95",*,27:01:00,5,11,0.455,3,7,0.429,2,4,0.5,0.591,3,3,1,1,4,5,5,1,0,1,1,16,15.3,17
840,11/16/22,GSW,PHX,"L, 119-130",*,36:14:00,17,28,0.607,7,11,0.636,10,17,0.588,0.732,9,9,1,0,9,9,6,0,1,3,2,50,41,-14
841,11/18/22,GSW,NYK,"W, 111-101",*,33:50:00,9,19,0.474,5,13,0.385,4,6,0.667,0.605,1,3,0.333,0,6,6,10,2,0,5,2,24,18.5,18
842,11/20/22,GSW,HOU,"W, 127-120",*,36:59:00,11,20,0.55,7,14,0.5,4,6,0.667,0.725,4,5,0.8,0,6,6,15,3,2,1,3,33,37.5,22
842-1,11/21/22,GSW,NOP,"L, 83-128",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
843,11/23/22,GSW,LAC,"W, 124-107",*,31:41:00,9,20,0.45,4,10,0.4,5,10,0.5,0.55,0,0,,1,5,6,9,0,0,1,0,22,19.1,18
844,11/25/22,GSW,UTA,"W, 129-118",*,35:43:00,13,23,0.565,6,13,0.462,7,10,0.7,0.696,1,1,1,0,5,5,4,2,0,5,4,33,21.8,19
845,11/27/22,GSW,MIN,"W, 137-114",*,32:37:00,7,17,0.412,4,11,0.364,3,6,0.5,0.529,7,7,1,1,10,11,8,1,0,7,1,25,18.8,22
846,11/29/22,GSW,DAL,"L, 113-116",*,37:48:00,11,24,0.458,5,14,0.357,6,10,0.6,0.563,5,6,0.833,1,4,5,5,0,0,4,4,32,19,-12
847,12/2/22,GSW,CHI,"W, 119-111",*,33:23:00,6,16,0.375,4,8,0.5,2,8,0.25,0.5,3,3,1,0,11,11,6,0,1,6,5,19,10.4,-1
848,12/3/22,GSW,HOU,"W, 120-101",*,34:32:00,10,21,0.476,8,17,0.471,2,4,0.5,0.667,2,3,0.667,0,3,3,10,1,1,4,0,30,24.5,19
849,12/5/22,GSW,IND,"L, 104-112",*,37:42:00,3,17,0.176,2,10,0.2,1,7,0.143,0.235,4,4,1,0,4,4,6,1,0,3,2,12,3.9,-17
849-1,12/7/22,GSW,UTA,"L, 123-124",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
850,12/10/22,GSW,BOS,"W, 123-107",*,37:27:00,12,21,0.571,6,11,0.545,6,10,0.6,0.714,2,2,1,1,5,6,7,0,1,4,3,32,24.7,20
851,12/13/22,GSW,MIL,"L, 111-128",*,27:19:00,6,17,0.353,3,10,0.3,3,7,0.429,0.441,5,5,1,2,4,6,1,1,1,2,0,20,13.5,-20
852,12/14/22,GSW,IND,"L, 119-125",*,29:33:00,11,19,0.579,5,10,0.5,6,9,0.667,0.711,11,11,1,1,6,7,7,2,1,3,2,38,35.4,-6
852-1,12/16/22,GSW,PHI,"L, 106-118",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-2,12/18/22,GSW,TOR,"W, 126-110",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-3,12/20/22,GSW,NYK,"L, 94-132",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-4,12/21/22,GSW,BRK,"L, 113-143",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-5,12/25/22,GSW,MEM,"W, 123-109",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-6,12/27/22,GSW,CHA,"W, 110-105",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-7,12/28/22,GSW,UTA,"W, 112-107",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-8,12/30/22,GSW,POR,"W, 118-112",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-9,1/2/23,GSW,ATL,"W, 143-141 (2OT)",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-10,1/4/23,GSW,DET,"L, 119-122",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
852-11,1/7/23,GSW,ORL,"L, 101-115",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
853,1/10/23,GSW,PHX,"L, 113-125",*,31:16:00,8,22,0.364,5,15,0.333,3,7,0.429,0.477,3,4,0.75,1,0,1,3,1,0,1,4,24,12.6,-19
854,1/13/23,GSW,SAS,"W, 144-113",*,23:07,6,12,0.5,2,7,0.286,4,5,0.8,0.583,1,1,1,0,4,4,3,0,1,0,3,15,11.8,12
855,1/15/23,GSW,CHI,"L, 118-132",*,34:29:00,8,15,0.533,3,10,0.3,5,5,1,0.633,1,2,0.5,0,10,10,4,0,1,8,2,20,10,-9
856,1/16/23,GSW,WAS,"W, 127-118",*,37:50:00,12,28,0.429,6,15,0.4,6,13,0.462,0.536,11,12,0.917,1,6,7,2,0,0,4,1,41,25.3,14
857,1/19/23,GSW,BOS,"L, 118-121 (OT)",*,43:05:00,9,25,0.36,6,18,0.333,3,7,0.429,0.48,5,5,1,0,4,4,7,3,2,3,1,29,22.2,9
857-1,1/20/23,GSW,CLE,"W, 120-114",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
858,1/22/23,GSW,BRK,"L, 116-120",*,37:35:00,7,16,0.438,4,8,0.5,3,8,0.375,0.563,8,8,1,1,5,6,7,1,0,5,2,26,19.9,-8
859,1/25/23,GSW,MEM,"W, 122-120",*,34:47:00,10,19,0.526,4,8,0.5,6,11,0.545,0.632,10,11,0.909,0,2,2,3,2,0,3,3,34,24.8,-3
860,1/27/23,GSW,TOR,"W, 129-117",*,38:47:00,13,21,0.619,4,8,0.5,9,13,0.692,0.714,5,5,1,0,7,7,11,2,0,3,1,35,33.9,13
861,1/30/23,GSW,OKC,"W, 128-120",*,36:36:00,12,20,0.6,8,14,0.571,4,6,0.667,0.8,6,6,1,1,7,8,12,0,1,4,0,38,36.7,17
862,2/1/23,GSW,MIN,"L, 114-119 (OT)",*,42:22:00,8,21,0.381,5,12,0.417,3,9,0.333,0.5,8,9,0.889,0,10,10,3,1,1,4,5,29,17.9,-5
863,2/2/23,GSW,DEN,"L, 117-134",*,33:11:00,10,17,0.588,5,10,0.5,5,7,0.714,0.735,3,3,1,2,3,5,5,0,0,6,4,28,18.3,-16
864,2/4/23,GSW,DAL,"W, 119-113",*,25:33:00,7,11,0.636,2,6,0.333,5,5,1,0.727,5,5,1,0,6,6,7,0,0,0,2,21,22,14
864-1,2/6/23,GSW,OKC,"W, 141-114",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-2,2/8/23,GSW,POR,"L, 122-125",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-3,2/11/23,GSW,LAL,"L, 103-109",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-4,2/13/23,GSW,WAS,"W, 135-126",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-5,2/14/23,GSW,LAC,"L, 124-134",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-6,2/23/23,GSW,LAL,"L, 111-124",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-7,2/24/23,GSW,HOU,"W, 116-101",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-8,2/26/23,GSW,MIN,"W, 109-104",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-9,2/28/23,GSW,POR,"W, 123-105",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-10,3/2/23,GSW,LAC,"W, 115-91",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
864-11,3/3/23,GSW,NOP,"W, 108-99",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
865,3/5/23,GSW,LAL,"L, 105-113",*,32:02:00,8,20,0.4,5,13,0.385,3,7,0.429,0.525,6,6,1,0,2,2,6,1,0,2,3,27,18.8,-12
866,3/7/23,GSW,OKC,"L, 128-137",*,35:28:00,14,23,0.609,10,16,0.625,4,7,0.571,0.826,2,2,1,1,5,6,7,0,0,6,4,40,29,-2
867,3/9/23,GSW,MEM,"L, 110-131",*,34:24:00,10,19,0.526,4,8,0.5,6,11,0.545,0.632,5,6,0.833,3,4,7,4,1,0,4,3,29,21.2,2
868,3/11/23,GSW,MIL,"W, 125-116 (OT)",*,43:24:00,13,27,0.481,6,15,0.4,7,12,0.583,0.593,4,4,1,1,5,6,4,2,1,5,1,36,24.6,10
869,3/13/23,GSW,PHX,"W, 123-112",*,33:28:00,7,13,0.538,4,6,0.667,3,7,0.429,0.692,5,6,0.833,2,5,7,5,0,0,5,4,23,16.1,14
870,3/15/23,GSW,LAC,"L, 126-134",*,38:32:00,20,28,0.714,8,14,0.571,12,14,0.857,0.857,2,4,0.5,0,2,2,6,2,0,2,1,50,42,-11
871,3/17/23,GSW,ATL,"L, 119-127",*,37:18:00,12,27,0.444,4,13,0.308,8,14,0.571,0.519,3,3,1,2,4,6,5,0,0,6,2,31,16.2,-1
872,3/18/23,GSW,MEM,"L, 119-133",*,30:03:00,5,15,0.333,3,8,0.375,2,7,0.286,0.433,3,4,0.75,1,7,8,5,0,0,1,1,16,12,-10
873,3/20/23,GSW,HOU,"W, 121-108",*,36:06:00,10,23,0.435,5,15,0.333,5,8,0.625,0.543,5,5,1,1,6,7,5,2,1,4,3,30,21.4,5
874,3/22/23,GSW,DAL,"W, 127-125",*,34:42:00,9,18,0.5,2,8,0.25,7,10,0.7,0.556,0,0,,1,4,5,13,0,0,3,2,20,18.2,10
875,3/24/23,GSW,PHI,"W, 120-112",*,38:26:00,10,18,0.556,2,7,0.286,8,11,0.727,0.611,7,8,0.875,0,8,8,3,0,0,2,2,29,21.7,20
876,3/26/23,GSW,MIN,"L, 96-99",*,36:12:00,8,23,0.348,4,13,0.308,4,10,0.4,0.435,0,0,,0,6,6,9,1,0,3,3,20,12,2
877,3/28/23,GSW,NOP,"W, 120-109",*,36:57:00,14,25,0.56,8,15,0.533,6,10,0.6,0.72,3,4,0.75,2,6,8,8,3,0,4,0,39,34.5,12
878,3/31/23,GSW,SAS,"W, 130-115",*,32:43:00,11,21,0.524,7,11,0.636,4,10,0.4,0.69,4,4,1,1,1,2,5,0,0,1,1,33,25.8,-3
879,4/2/23,GSW,DEN,"L, 110-112",*,36:53:00,8,28,0.286,2,14,0.143,6,14,0.429,0.321,3,3,1,1,2,3,4,0,2,3,1,21,6.7,-5
880,4/4/23,GSW,OKC,"W, 136-125",*,36:46:00,11,25,0.44,6,13,0.462,5,12,0.417,0.56,6,6,1,0,5,5,6,1,0,0,3,34,26.4,14
881,4/7/23,GSW,SAC,"W, 119-97",*,32:41:00,8,14,0.571,3,7,0.429,5,7,0.714,0.679,6,7,0.857,1,6,7,6,2,1,5,1,25,22,33
882,4/9/23,GSW,POR,"W, 157-101",*,22:27,9,15,0.6,5,10,0.5,4,5,0.8,0.767,3,3,1,0,5,5,7,0,0,1,0,26,24.5,26
