Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
827,10/18/22,GSW,LAL,"W, 123-109",*,32:48:00,10,22,0.455,4,13,0.308,6,9,0.667,0.545,9,9,1,1,5,6,7,4,1,4,1,33,29,20
828,10/21/22,GSW,DEN,"L, 123-128",*,35:55:00,10,22,0.455,5,11,0.455,5,11,0.455,0.568,9,9,1,1,4,5,4,0,0,3,2,34,23.5,9
829,10/23/22,GSW,SAC,"W, 130-125",*,31:21:00,11,22,0.5,7,12,0.583,4,10,0.4,0.659,4,4,1,0,5,5,2,1,0,2,3,33,22.7,19
830,10/25/22,GSW,PHX,"L, 105-134",*,29:55:00,7,17,0.412,4,9,0.444,3,8,0.375,0.529,3,5,0.6,0,7,7,8,1,0,1,1,21,18.4,-17
831,10/27/22,GSW,MIA,"W, 123-110",*,36:57:00,13,22,0.591,7,14,0.5,6,8,0.75,0.75,0,0,,1,6,7,9,1,0,3,0,33,29.6,13
832,10/29/22,GSW,CHA,"L, 113-120 (OT)",*,38:54:00,10,22,0.455,3,13,0.231,7,9,0.778,0.523,8,8,1,0,11,11,6,1,0,2,5,31,24.1,-6
833,10/30/22,GSW,DET,"L, 114-128",*,34:58:00,10,24,0.417,4,14,0.286,6,10,0.6,0.5,8,9,0.889,0,6,6,3,2,0,1,1,32,23.3,-12
834,11/1/22,GSW,MIA,"L, 109-116",*,34:30:00,7,14,0.5,4,10,0.4,3,4,0.75,0.643,5,5,1,4,9,13,13,1,0,5,3,23,25.4,3
835,11/3/22,GSW,ORL,"L, 129-130",*,38:20:00,13,22,0.591,8,15,0.533,5,7,0.714,0.773,5,5,1,1,2,3,9,0,0,5,3,39,30.2,4
835-1,11/4/22,GSW,NOP,"L, 105-114",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
836,11/7/22,GSW,SAC,"W, 116-113",*,37:43:00,17,24,0.708,7,12,0.583,10,12,0.833,0.854,6,7,0.857,0,8,8,8,0,0,0,2,47,43.8,20
