Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
763,10/19/21,GSW,LAL,"W, 121-114",*,36:11:00,5,21,0.238,2,8,0.25,3,13,0.231,0.286,9,9,1,1,9,10,10,3,0,4,1,21,17.3,4
764,10/21/21,GSW,LAC,"W, 115-113",*,37:33:00,16,25,0.64,8,13,0.615,8,12,0.667,0.8,5,5,1,0,10,10,1,1,1,6,2,45,32.5,-2
765,10/24/21,GSW,SAC,"W, 119-107",*,35:16:00,9,23,0.391,4,15,0.267,5,8,0.625,0.478,5,6,0.833,1,6,7,10,3,0,3,1,27,23.2,14
766,10/26/21,GSW,OKC,"W, 106-98",*,32:18:00,6,14,0.429,4,9,0.444,2,5,0.4,0.571,7,7,1,1,5,6,4,0,1,4,1,23,16.9,15
767,10/28/21,GSW,MEM,"L, 101-104 (OT)",*,40:40:00,11,29,0.379,7,20,0.35,4,9,0.444,0.5,7,7,1,1,6,7,8,1,0,5,2,36,23.4,12
768,10/30/21,GSW,OKC,"W, 103-82",*,27:11:00,7,16,0.438,6,15,0.4,1,1,1,0.625,0,0,,0,5,5,6,1,1,2,1,20,16.6,17
769,11/3/21,GSW,CHA,"W, 114-92",*,35:25:00,6,15,0.4,3,11,0.273,3,4,0.75,0.5,0,0,,1,7,8,9,1,1,4,3,15,12.5,-1
770,11/5/21,GSW,NOP,"W, 126-85",*,29:45:00,5,16,0.313,5,13,0.385,0,3,0,0.469,4,4,1,0,3,3,6,0,2,1,1,19,14.9,17
771,11/7/21,GSW,HOU,"W, 120-107",*,26:49:00,8,16,0.5,4,11,0.364,4,5,0.8,0.625,0,0,,2,1,3,2,3,0,0,3,20,16.9,16
772,11/8/21,GSW,ATL,"W, 127-113",*,35:02:00,14,28,0.5,9,19,0.474,5,9,0.556,0.661,13,13,1,2,5,7,10,4,1,2,0,50,48.6,31
773,11/10/21,GSW,MIN,"W, 123-110",*,34:06:00,8,16,0.5,3,9,0.333,5,7,0.714,0.594,6,8,0.75,0,5,5,6,1,0,3,2,25,19.1,11
774,11/12/21,GSW,CHI,"W, 119-93",*,34:13:00,15,24,0.625,9,17,0.529,6,7,0.857,0.813,1,1,1,0,4,4,5,1,1,6,1,40,29.2,31
775,11/14/21,GSW,CHA,"L, 102-106",*,35:42:00,7,22,0.318,3,13,0.231,4,9,0.444,0.386,7,7,1,1,5,6,10,3,1,3,2,24,20.5,14
776,11/16/21,GSW,BRK,"W, 117-99",*,29:15:00,12,19,0.632,9,14,0.643,3,5,0.6,0.868,4,4,1,0,7,7,5,2,1,2,4,37,33.2,16
777,11/18/21,GSW,CLE,"W, 104-89",*,35:23:00,15,27,0.556,9,16,0.563,6,11,0.545,0.722,1,1,1,0,4,4,6,2,0,3,4,40,29.9,8
