Gcar,Date,Team,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
777-1,11/19/21,GSW,DET,"W, 105-102",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
778,11/21/21,GSW,TOR,"W, 119-104",*,37:04:00,2,10,0.2,1,6,0.167,1,4,0.25,0.25,7,7,1,0,2,2,8,1,0,4,1,12,8.6,19
779,11/24/21,GSW,PHI,"W, 116-96",*,34:55:00,9,16,0.563,6,11,0.545,3,5,0.6,0.75,1,2,0.5,0,4,4,10,1,0,4,1,25,21.8,29
780,11/26/21,GSW,POR,"W, 118-103",*,38:04:00,12,25,0.48,6,15,0.4,6,10,0.6,0.6,2,3,0.667,0,7,7,8,1,0,3,2,32,23.8,18
781,11/28/21,GSW,LAC,"W, 105-90",*,34:47:00,12,22,0.545,7,13,0.538,5,9,0.556,0.705,2,2,1,0,5,5,6,6,0,3,4,33,29.5,14
782,11/30/21,GSW,PHX,"L, 96-104",*,35:58:00,4,21,0.19,3,14,0.214,1,7,0.143,0.262,1,1,1,1,2,3,2,1,1,2,0,12,1.3,-17
783,12/3/21,GSW,PHX,"W, 118-96",*,33:24:00,8,20,0.4,6,11,0.545,2,9,0.222,0.55,1,2,0.5,2,3,5,5,0,0,3,2,23,13.8,10
784,12/4/21,GSW,SAS,"L, 107-112",*,36:52:00,7,28,0.25,5,17,0.294,2,11,0.182,0.339,8,9,0.889,1,7,8,5,3,0,1,1,27,17.7,3
785,12/6/21,GSW,ORL,"W, 126-95",*,30:58:00,8,16,0.5,7,13,0.538,1,3,0.333,0.719,8,8,1,0,3,3,8,2,0,3,2,31,27.7,9
786,12/8/21,GSW,POR,"W, 104-94",*,33:21:00,8,19,0.421,6,17,0.353,2,2,1,0.579,0,0,,2,0,2,2,1,0,4,3,22,10.5,16
787,12/11/21,GSW,PHI,"L, 93-102",*,36:14:00,6,20,0.3,3,14,0.214,3,6,0.5,0.375,3,4,0.75,2,7,9,5,0,0,3,1,18,9.6,-9
788,12/13/21,GSW,IND,"W, 102-100",*,35:21:00,8,20,0.4,5,15,0.333,3,5,0.6,0.525,5,5,1,1,5,6,6,1,1,7,1,26,15.9,17
789,12/14/21,GSW,NYK,"W, 105-96",*,34:43:00,8,19,0.421,5,14,0.357,3,5,0.6,0.553,1,2,0.5,0,3,3,3,1,1,4,4,22,10.6,13
790,12/17/21,GSW,BOS,"W, 111-107",*,35:15:00,8,21,0.381,5,14,0.357,3,7,0.429,0.5,9,9,1,1,4,5,4,1,0,6,6,30,15.8,-10
790-1,12/18/21,GSW,TOR,"L, 100-119",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
791,12/20/21,GSW,SAC,"W, 113-98",*,36:14:00,13,27,0.481,4,12,0.333,9,15,0.6,0.556,0,1,0,0,3,3,4,0,2,4,1,30,16.6,16
792,12/23/21,GSW,MEM,"W, 113-104",*,37:19:00,13,22,0.591,8,14,0.571,5,8,0.625,0.773,12,12,1,0,4,4,4,2,0,3,1,46,38.4,15
793,12/25/21,GSW,PHX,"W, 116-107",*,37:12:00,10,27,0.37,5,16,0.313,5,11,0.455,0.463,8,9,0.889,0,4,4,6,3,1,1,3,33,24.6,24
794,12/28/21,GSW,DEN,"L, 86-89",*,39:05:00,6,16,0.375,5,14,0.357,1,2,0.5,0.531,6,7,0.857,0,4,4,4,0,0,6,3,23,10.6,5
795,1/1/22,GSW,UTA,"W, 123-116",*,35:31:00,8,18,0.444,6,12,0.5,2,6,0.333,0.611,6,7,0.857,0,6,6,9,0,1,3,3,28,22.8,4
796,1/3/22,GSW,MIA,"W, 115-108",*,32:01:00,3,17,0.176,1,10,0.1,2,7,0.286,0.206,2,2,1,0,3,3,10,0,1,2,3,9,3.7,0
797,1/5/22,GSW,DAL,"L, 82-99",*,36:04:00,5,24,0.208,1,9,0.111,4,15,0.267,0.229,3,4,0.75,0,9,9,5,0,1,5,2,14,-0.1,0
797-1,1/6/22,GSW,NOP,"L, 96-101",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
798,1/9/22,GSW,CLE,"W, 96-82",*,36:31:00,10,21,0.476,4,11,0.364,6,10,0.6,0.571,4,4,1,3,2,5,5,1,0,5,3,28,18.3,23
799,1/11/22,GSW,MEM,"L, 108-116",*,38:41:00,8,21,0.381,2,9,0.222,6,12,0.5,0.429,9,10,0.9,1,9,10,10,2,0,3,3,27,23.3,-1
800,1/13/22,GSW,MIL,"L, 99-118",*,29:15:00,4,11,0.364,2,6,0.333,2,5,0.4,0.455,2,2,1,0,8,8,4,2,0,4,0,12,9.1,-25
801,1/14/22,GSW,CHI,"W, 138-96",*,27:37:00,7,15,0.467,4,10,0.4,3,5,0.6,0.6,1,2,0.5,0,2,2,2,1,0,1,0,19,12.9,24
801-1,1/16/22,GSW,MIN,"L, 99-119",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
802,1/18/22,GSW,DET,"W, 102-86",*,28:33:00,6,11,0.545,4,8,0.5,2,3,0.667,0.727,2,2,1,0,3,3,8,3,0,1,1,18,20.8,21
803,1/20/22,GSW,IND,"L, 117-121 (OT)",*,43:57:00,12,27,0.444,6,16,0.375,6,11,0.545,0.556,9,9,1,0,5,5,8,1,0,2,3,39,29.8,-4
804,1/21/22,GSW,HOU,"W, 105-103",*,38:56:00,6,21,0.286,4,13,0.308,2,8,0.25,0.381,6,8,0.75,0,4,4,12,1,1,2,3,22,17,2
805,1/23/22,GSW,UTA,"W, 94-92",*,35:02:00,5,20,0.25,1,13,0.077,4,7,0.571,0.275,2,2,1,2,2,4,6,0,0,1,0,13,6.2,-5
806,1/25/22,GSW,DAL,"W, 130-92",*,28:58:00,7,16,0.438,2,10,0.2,5,6,0.833,0.5,2,3,0.667,2,7,9,7,1,0,4,3,18,13.4,23
807,1/27/22,GSW,MIN,"W, 124-115",*,38:21:00,10,20,0.5,6,10,0.6,4,10,0.4,0.65,3,3,1,0,8,8,6,3,0,4,1,29,24.2,13
808,1/29/22,GSW,BRK,"W, 110-106",*,35:31:00,5,18,0.278,3,10,0.3,2,8,0.25,0.361,6,6,1,2,5,7,8,3,0,5,5,19,12.9,-3
809,1/31/22,GSW,HOU,"W, 122-108",*,37:57:00,13,23,0.565,7,14,0.5,6,9,0.667,0.717,7,8,0.875,0,5,5,9,1,1,1,0,40,37.2,18
809-1,2/1/22,GSW,SAS,"W, 124-120",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
810,2/3/22,GSW,SAC,"W, 126-114",*,31:40:00,7,11,0.636,4,7,0.571,3,4,0.75,0.818,2,2,1,0,1,1,7,2,0,4,4,20,16.7,21
811,2/7/22,GSW,OKC,"W, 110-98",*,36:34:00,6,12,0.5,4,10,0.4,2,2,1,0.667,2,2,1,0,9,9,10,1,0,4,2,18,17.9,4
812,2/9/22,GSW,UTA,"L, 85-111",*,29:39:00,5,13,0.385,3,8,0.375,2,5,0.4,0.5,3,4,0.75,1,6,7,2,0,0,4,2,16,7.6,-14
813,2/10/22,GSW,NYK,"L, 114-116",*,39:08:00,11,25,0.44,5,16,0.313,6,9,0.667,0.54,8,8,1,0,2,2,10,1,0,3,5,35,25.5,9
814,2/12/22,GSW,LAL,"W, 117-115",*,36:36:00,7,17,0.412,1,8,0.125,6,9,0.667,0.441,9,9,1,0,5,5,8,1,0,2,3,24,19.8,8
815,2/14/22,GSW,LAC,"L, 104-119",*,33:49:00,11,18,0.611,8,13,0.615,3,5,0.6,0.833,3,3,1,0,2,2,2,0,0,4,2,33,22,-19
816,2/16/22,GSW,DEN,"L, 116-117",*,39:06:00,10,19,0.526,1,7,0.143,9,12,0.75,0.553,4,4,1,0,3,3,6,0,0,2,2,25,18,-2
817,2/24/22,GSW,POR,"W, 132-95",*,27:27:00,5,11,0.455,2,7,0.286,3,4,0.75,0.545,6,6,1,0,5,5,14,1,1,3,3,18,21.1,19
818,2/27/22,GSW,DAL,"L, 101-107",*,38:04:00,11,25,0.44,3,10,0.3,8,15,0.533,0.5,2,4,0.5,1,3,4,10,2,0,1,0,27,22.7,-4
819,3/1/22,GSW,MIN,"L, 114-129",*,33:13:00,10,24,0.417,5,16,0.313,5,8,0.625,0.521,9,9,1,1,4,5,4,0,0,4,1,34,21.5,-10
820,3/3/22,GSW,DAL,"L, 113-122",*,40:26:00,8,15,0.533,4,5,0.8,4,10,0.4,0.667,1,1,1,0,5,5,9,1,0,3,3,21,18.3,-8
821,3/5/22,GSW,LAL,"L, 116-124",*,35:41:00,13,22,0.591,4,9,0.444,9,13,0.692,0.682,0,0,,0,4,4,1,0,0,4,0,30,17.7,-12
821-1,3/7/22,GSW,DEN,"L, 124-131",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
822,3/8/22,GSW,LAC,"W, 112-97",*,35:03:00,5,12,0.417,1,6,0.167,4,6,0.667,0.458,4,4,1,0,5,5,5,3,0,4,4,15,11,6
823,3/10/22,GSW,DEN,"W, 113-102",*,37:58:00,11,21,0.524,5,12,0.417,6,9,0.667,0.643,7,7,1,0,9,9,3,2,0,2,1,34,28.1,18
824,3/12/22,GSW,MIL,"W, 122-109",*,33:09:00,3,7,0.429,2,4,0.5,1,3,0.333,0.571,0,0,,1,4,5,8,1,1,4,1,8,9.1,14
825,3/14/22,GSW,WAS,"W, 126-112",*,35:26:00,16,25,0.64,7,14,0.5,9,11,0.818,0.78,8,8,1,0,6,6,6,1,0,2,1,47,40.5,17
826,3/16/22,GSW,BOS,"L, 88-110",*,13:40,1,4,0.25,1,4,0.25,0,0,,0.375,0,0,,0,1,1,2,0,0,4,2,3,-2.5,-5
826-1,3/20/22,GSW,SAS,"L, 108-110",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-2,3/22/22,GSW,ORL,"L, 90-94",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-3,3/23/22,GSW,MIA,"W, 118-104",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-4,3/25/22,GSW,ATL,"L, 110-121",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-5,3/27/22,GSW,WAS,"L, 115-123",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-6,3/28/22,GSW,MEM,"L, 95-123",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-7,3/30/22,GSW,PHX,"L, 103-107",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-8,4/2/22,GSW,UTA,"W, 111-107",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-9,4/3/22,GSW,SAC,"W, 109-90",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-10,4/7/22,GSW,LAL,"W, 128-112",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-11,4/9/22,GSW,SAS,"W, 100-94",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
826-12,4/10/22,GSW,NOP,"W, 128-107",Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
